model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val,
Listener,5,5,0.9,0.01,9,1,1,partner2,group2,0.51875,
Listener,5,5,0.9,0.01,10,1,1,partner2,group2,0.52025,
Listener,5,5,0.9,0.01,11,1,1,partner2,group2,0.48,
Listener,5,5,0.9,0.01,12,1,1,partner2,group2,0.617,
Listener,5,5,0.9,0.01,13,1,1,partner2,group2,0.53275,
Listener,5,5,0.9,0.01,14,1,1,partner2,group2,0.557125,
Listener,5,5,0.9,0.01,15,1,1,partner2,group2,0.574125,
Listener,5,5,0.9,0.01,16,1,1,partner2,group2,0.449875,
Listener,5,5,0.9,0.01,17,1,1,partner2,group2,0.531125,
Listener,5,5,0.9,0.01,18,1,1,partner2,group2,0.502375,
Listener,5,5,0.9,0.01,19,1,1,partner2,group2,0.711875,
Listener,5,5,0.9,0.01,20,1,1,partner2,group2,0.585625,
Listener,5,5,0.9,0.01,21,1,1,partner2,group2,0.55275,
Listener,5,5,0.9,0.01,22,1,1,partner2,group2,0.49275,
Listener,5,5,0.9,0.01,23,1,1,partner2,group2,0.4545,
Listener,5,5,0.9,0.01,24,1,1,partner2,group2,0.530625,
Listener,5,5,0.9,0.01,25,1,1,partner2,group2,0.44825,
Listener,5,5,0.9,0.01,26,1,1,partner2,group2,0.568875,
Listener,5,5,0.9,0.01,27,1,1,partner2,group2,0.538,
Listener,5,5,0.9,0.01,28,1,1,partner2,group2,0.435875,
Listener,5,5,0.9,0.01,29,1,1,partner2,group2,0.471625,
Listener,5,5,0.9,0.01,30,1,1,partner2,group2,0.494625,
Listener,5,5,0.9,0.01,31,1,1,partner2,group2,0.6275,
Listener,5,5,0.9,0.01,32,1,1,partner2,group2,0.50725,
Listener,5,5,0.9,0.01,33,1,1,partner2,group2,0.53225,
Listener,5,5,0.9,0.01,34,1,1,partner2,group2,0.532,
Listener,5,5,0.9,0.01,35,1,1,partner2,group2,0.59925,
Listener,5,5,0.9,0.01,36,1,1,partner2,group2,0.352875,
Listener,5,5,0.9,0.01,37,1,1,partner2,group2,0.45975,
Listener,5,5,0.9,0.01,38,1,1,partner2,group2,0.412375,
Listener,5,5,0.9,0.01,39,1,1,partner2,group2,0.498875,
Listener,5,5,0.9,0.01,40,1,1,partner2,group2,0.575375,
Listener,5,5,0.9,0.01,41,1,1,partner2,group2,0.50675,
Listener,5,5,0.9,0.01,42,1,1,partner2,group2,0.515875,
Listener,5,5,0.9,0.01,43,1,1,partner2,group2,0.498375,
Listener,5,5,0.9,0.01,44,1,1,partner2,group2,0.462625,
Listener,5,5,0.9,0.01,45,1,1,partner2,group2,0.382875,
Listener,5,5,0.9,0.01,46,1,1,partner2,group2,0.56525,
Listener,5,5,0.9,0.01,47,1,1,partner2,group2,0.4955,
Listener,5,5,0.9,0.01,48,1,1,partner2,group2,0.426625,
Listener,5,5,0.9,0.01,49,1,1,partner2,group2,0.512375,
Listener,5,5,0.9,0.01,50,1,1,partner2,group2,0.36875,
Listener,5,5,0.9,0.01,51,1,1,partner2,group2,0.478375,
Listener,5,5,0.9,0.01,52,1,1,partner2,group2,0.511375,
Listener,5,5,0.9,0.01,53,1,1,partner2,group2,0.472875,
Listener,5,5,0.9,0.01,54,1,1,partner2,group2,0.510125,
Listener,5,5,0.9,0.01,55,1,1,partner2,group2,0.4925,
Listener,5,5,0.9,0.01,56,1,1,partner2,group2,0.583375,
Listener,5,5,0.9,0.01,57,1,1,partner2,group2,0.53225,
Listener,5,5,0.9,0.01,58,1,1,partner2,group2,0.41,
Listener,5,5,0.9,0.01,59,1,1,partner2,group2,0.46275,
Listener,5,5,0.9,0.01,60,1,1,partner2,group2,0.51525,
Listener,5,5,0.9,0.01,61,1,1,partner2,group2,0.52075,
Listener,5,5,0.9,0.01,62,1,1,partner2,group2,0.579375,
Listener,5,5,0.9,0.01,63,1,1,partner2,group2,0.38,
Listener,5,5,0.9,0.01,64,1,1,partner2,group2,0.527,
Listener,5,5,0.9,0.01,65,1,1,partner2,group2,0.535875,
Listener,5,5,0.9,0.01,66,1,1,partner2,group2,0.46075,
Listener,5,5,0.9,0.01,67,1,1,partner2,group2,0.39625,
Listener,5,5,0.9,0.01,68,1,1,partner2,group2,0.475875,
Listener,5,5,0.9,0.01,69,1,1,partner2,group2,0.42725,
Listener,5,5,0.9,0.01,70,1,1,partner2,group2,0.528875,
Listener,5,5,0.9,0.01,71,1,1,partner2,group2,0.569,
Listener,5,5,0.9,0.01,72,1,1,partner2,group2,0.466125,
Listener,5,5,0.9,0.01,73,1,1,partner2,group2,0.574125,
Listener,5,5,0.9,0.01,74,1,1,partner2,group2,0.59675,
Listener,5,5,0.9,0.01,75,1,1,partner2,group2,0.395625,
Listener,5,5,0.9,0.01,76,1,1,partner2,group2,0.471875,
Listener,5,5,0.9,0.01,77,1,1,partner2,group2,0.525,
Listener,5,5,0.9,0.01,78,1,1,partner2,group2,0.54025,
Listener,5,5,0.9,0.01,79,1,1,partner2,group2,0.58275,
Listener,5,5,0.9,0.01,80,1,1,partner2,group2,0.402,
Listener,5,5,0.9,0.01,81,1,1,partner2,group2,0.597125,
Listener,5,5,0.9,0.01,82,1,1,partner2,group2,0.514625,
Listener,5,5,0.9,0.01,83,1,1,partner2,group2,0.51425,
Listener,5,5,0.9,0.01,84,1,1,partner2,group2,0.442125,
Listener,5,5,0.9,0.01,85,1,1,partner2,group2,0.544625,
Listener,5,5,0.9,0.01,86,1,1,partner2,group2,0.508875,
Listener,5,5,0.9,0.01,87,1,1,partner2,group2,0.45175,
Listener,5,5,0.9,0.01,88,1,1,partner2,group2,0.46925,
Listener,5,5,0.9,0.01,89,1,1,partner2,group2,0.405125,
Listener,5,5,0.9,0.01,90,1,1,partner2,group2,0.582125,
Listener,5,5,0.9,0.01,91,1,1,partner2,group2,0.4345,
Listener,5,5,0.9,0.01,92,1,1,partner2,group2,0.5045,
Listener,5,5,0.9,0.01,93,1,1,partner2,group2,0.434,
Listener,5,5,0.9,0.01,94,1,1,partner2,group2,0.538875,
Listener,5,5,0.9,0.01,95,1,1,partner2,group2,0.487125,
Listener,5,5,0.9,0.01,96,1,1,partner2,group2,0.575875,
Listener,5,5,0.9,0.01,97,1,1,partner2,group2,0.426875,
Listener,5,5,0.9,0.01,98,1,1,partner2,group2,0.482,
Listener,5,5,0.9,0.01,99,1,1,partner2,group2,0.5665,0.50023375
Listener,5,5,0.9,0.01,0,1,1,partner3,group1,0.51275,
Listener,5,5,0.9,0.01,1,1,1,partner3,group1,0.58375,
Listener,5,5,0.9,0.01,2,1,1,partner3,group1,0.559125,
Listener,5,5,0.9,0.01,3,1,1,partner3,group1,0.481375,
Listener,5,5,0.9,0.01,4,1,1,partner3,group1,0.509875,
Listener,5,5,0.9,0.01,5,1,1,partner3,group1,0.5895,
Listener,5,5,0.9,0.01,6,1,1,partner3,group1,0.507625,
Listener,5,5,0.9,0.01,7,1,1,partner3,group1,0.491,
Listener,5,5,0.9,0.01,8,1,1,partner3,group1,0.503125,
Listener,5,5,0.9,0.01,9,1,1,partner3,group1,0.436875,
Listener,5,5,0.9,0.01,10,1,1,partner3,group1,0.40725,
Listener,5,5,0.9,0.01,11,1,1,partner3,group1,0.53925,
Listener,5,5,0.9,0.01,12,1,1,partner3,group1,0.608625,
Listener,5,5,0.9,0.01,13,1,1,partner3,group1,0.5205,
Listener,5,5,0.9,0.01,14,1,1,partner3,group1,0.439625,
Listener,5,5,0.9,0.01,15,1,1,partner3,group1,0.46925,
Listener,5,5,0.9,0.01,16,1,1,partner3,group1,0.557,
Listener,5,5,0.9,0.01,17,1,1,partner3,group1,0.57275,
Listener,5,5,0.9,0.01,18,1,1,partner3,group1,0.52675,
Listener,5,5,0.9,0.01,19,1,1,partner3,group1,0.516125,
Listener,5,5,0.9,0.01,20,1,1,partner3,group1,0.52875,
Listener,5,5,0.9,0.01,21,1,1,partner3,group1,0.43125,
Listener,5,5,0.9,0.01,22,1,1,partner3,group1,0.349,
Listener,5,5,0.9,0.01,23,1,1,partner3,group1,0.39575,
Listener,5,5,0.9,0.01,24,1,1,partner3,group1,0.577625,
Listener,5,5,0.9,0.01,25,1,1,partner3,group1,0.436625,
Listener,5,5,0.9,0.01,26,1,1,partner3,group1,0.54075,
Listener,5,5,0.9,0.01,27,1,1,partner3,group1,0.492875,
Listener,5,5,0.9,0.01,28,1,1,partner3,group1,0.507875,
Listener,5,5,0.9,0.01,29,1,1,partner3,group1,0.4835,
Listener,5,5,0.9,0.01,30,1,1,partner3,group1,0.579,
Listener,5,5,0.9,0.01,31,1,1,partner3,group1,0.57275,
Listener,5,5,0.9,0.01,32,1,1,partner3,group1,0.5265,
Listener,5,5,0.9,0.01,33,1,1,partner3,group1,0.592125,
Listener,5,5,0.9,0.01,34,1,1,partner3,group1,0.46825,
Listener,5,5,0.9,0.01,35,1,1,partner3,group1,0.540125,
Listener,5,5,0.9,0.01,36,1,1,partner3,group1,0.4795,
Listener,5,5,0.9,0.01,37,1,1,partner3,group1,0.5025,
Listener,5,5,0.9,0.01,38,1,1,partner3,group1,0.473875,
Listener,5,5,0.9,0.01,39,1,1,partner3,group1,0.481875,
Listener,5,5,0.9,0.01,40,1,1,partner3,group1,0.533875,
Listener,5,5,0.9,0.01,41,1,1,partner3,group1,0.52575,
Listener,5,5,0.9,0.01,42,1,1,partner3,group1,0.55775,
Listener,5,5,0.9,0.01,43,1,1,partner3,group1,0.511875,
Listener,5,5,0.9,0.01,44,1,1,partner3,group1,0.5235,
Listener,5,5,0.9,0.01,45,1,1,partner3,group1,0.446,
Listener,5,5,0.9,0.01,46,1,1,partner3,group1,0.574875,
Listener,5,5,0.9,0.01,47,1,1,partner3,group1,0.373125,
Listener,5,5,0.9,0.01,48,1,1,partner3,group1,0.54775,
Listener,5,5,0.9,0.01,49,1,1,partner3,group1,0.637625,
Listener,5,5,0.9,0.01,50,1,1,partner3,group1,0.459,
Listener,5,5,0.9,0.01,51,1,1,partner3,group1,0.4105,
Listener,5,5,0.9,0.01,52,1,1,partner3,group1,0.52825,
Listener,5,5,0.9,0.01,53,1,1,partner3,group1,0.437125,
Listener,5,5,0.9,0.01,54,1,1,partner3,group1,0.568,
Listener,5,5,0.9,0.01,55,1,1,partner3,group1,0.525625,
Listener,5,5,0.9,0.01,56,1,1,partner3,group1,0.478375,
Listener,5,5,0.9,0.01,57,1,1,partner3,group1,0.573625,
Listener,5,5,0.9,0.01,58,1,1,partner3,group1,0.368,
Listener,5,5,0.9,0.01,59,1,1,partner3,group1,0.528375,
Listener,5,5,0.9,0.01,60,1,1,partner3,group1,0.656125,
Listener,5,5,0.9,0.01,61,1,1,partner3,group1,0.491,
Listener,5,5,0.9,0.01,62,1,1,partner3,group1,0.59875,
Listener,5,5,0.9,0.01,63,1,1,partner3,group1,0.435875,
Listener,5,5,0.9,0.01,64,1,1,partner3,group1,0.576625,
Listener,5,5,0.9,0.01,65,1,1,partner3,group1,0.566,
Listener,5,5,0.9,0.01,66,1,1,partner3,group1,0.463625,
Listener,5,5,0.9,0.01,67,1,1,partner3,group1,0.55725,
Listener,5,5,0.9,0.01,68,1,1,partner3,group1,0.3815,
Listener,5,5,0.9,0.01,69,1,1,partner3,group1,0.412625,
Listener,5,5,0.9,0.01,70,1,1,partner3,group1,0.47375,
Listener,5,5,0.9,0.01,71,1,1,partner3,group1,0.612875,
Listener,5,5,0.9,0.01,72,1,1,partner3,group1,0.548625,
