scale, iterationNum, trialNum,                  condition,partnerID,partner,val
0.05,2,6,1,partner3,group1,0.641625
0.05,2,6,1,partner3,group2,0.358375
0.05,2,6,1,partner4,group1,0.3735
0.05,2,6,1,partner4,group2,0.6265
0.05,2,7,2,partner1,group1,1
0.05,2,7,2,partner2,group1,0.586375
0.05,2,7,2,partner2,group2,0.413625
0.05,2,7,2,partner3,group1,0.464375
0.05,2,7,2,partner3,group2,0.535625
0.05,2,7,2,partner4,group1,0.56375
0.05,2,7,2,partner4,group2,0.43625
0.05,2,8,2,partner1,group1,1
0.05,2,8,2,partner2,group1,0.211375
0.05,2,8,2,partner2,group2,0.788625
0.05,2,8,2,partner3,group1,0.446125
0.05,2,8,2,partner3,group2,0.553875
0.05,2,8,2,partner4,group1,0.55
0.05,2,8,2,partner4,group2,0.45
0.05,2,9,2,partner1,group1,1
0.05,2,9,2,partner2,group1,0.145
0.05,2,9,2,partner2,group2,0.855
0.05,2,9,2,partner3,group1,0.557
0.05,2,9,2,partner3,group2,0.443
0.05,2,9,2,partner4,group1,0.49325
0.05,2,9,2,partner4,group2,0.50675
0.05,2,10,2,partner1,group1,1
0.05,2,10,2,partner2,group1,0.080875
0.05,2,10,2,partner2,group2,0.919125
0.05,2,10,2,partner3,group1,0.556875
0.05,2,10,2,partner3,group2,0.443125
0.05,2,10,2,partner4,group1,0.675125
0.05,2,10,2,partner4,group2,0.324875
0.05,2,11,2,partner1,group1,1
0.05,2,11,2,partner2,group1,0.03025
0.05,2,11,2,partner2,group2,0.96975
0.05,2,11,2,partner3,group1,0.60375
0.05,2,11,2,partner3,group2,0.39625
0.05,2,11,2,partner4,group1,0.551
0.05,2,11,2,partner4,group2,0.449
0.05,2,12,2,partner1,group1,1
0.05,2,12,2,partner2,group1,0.061125
0.05,2,12,2,partner2,group2,0.938875
0.05,2,12,2,partner3,group1,0.610875
0.05,2,12,2,partner3,group2,0.389125
0.05,2,12,2,partner4,group1,0.6495
0.05,2,12,2,partner4,group2,0.3505
0.05,2,13,3,partner1,group1,1
0.05,2,13,3,partner2,group1,0.06175
0.05,2,13,3,partner2,group2,0.93825
0.05,2,13,3,partner3,group1,0.447875
0.05,2,13,3,partner3,group2,0.552125
0.05,2,13,3,partner4,group1,0.285875
0.05,2,13,3,partner4,group2,0.714125
0.05,2,14,3,partner1,group1,1
0.05,2,14,3,partner2,group1,0.02925
0.05,2,14,3,partner2,group2,0.97075
0.05,2,14,3,partner3,group1,0.9555
0.05,2,14,3,partner3,group2,0.0445
0.05,2,14,3,partner4,group1,0.404875
0.05,2,14,3,partner4,group2,0.595125
0.05,2,15,3,partner1,group1,1
0.05,2,15,3,partner2,group1,0.062125
0.05,2,15,3,partner2,group2,0.937875
0.05,2,15,3,partner3,group1,0.9575
0.05,2,15,3,partner3,group2,0.0425
0.05,2,15,3,partner4,group1,0.24625
0.05,2,15,3,partner4,group2,0.75375
0.05,2,16,3,partner1,group1,1
0.05,2,16,3,partner2,group1,0.121125
0.05,2,16,3,partner2,group2,0.878875
0.05,2,16,3,partner3,group1,0.922875
0.05,2,16,3,partner3,group2,0.077125
0.05,2,16,3,partner4,group1,0.59025
0.05,2,16,3,partner4,group2,0.40975
0.05,2,17,3,partner1,group1,1
0.05,2,17,3,partner2,group1,0.2715
0.05,2,17,3,partner2,group2,0.7285
0.05,2,17,3,partner3,group1,0.75775
0.05,2,17,3,partner3,group2,0.24225
0.05,2,17,3,partner4,group1,0.41525
0.05,2,17,3,partner4,group2,0.58475
0.05,2,18,3,partner1,group1,1
0.05,2,18,3,partner2,group1,0.18225
0.05,2,18,3,partner2,group2,0.81775
0.05,2,18,3,partner3,group1,0.82575
0.05,2,18,3,partner3,group2,0.17425
0.05,2,18,3,partner4,group1,0.34075
0.05,2,18,3,partner4,group2,0.65925
0.05,2,19,4,partner1,group1,1
0.05,2,19,4,partner2,group1,0.145125
0.05,2,19,4,partner2,group2,0.854875
0.05,2,19,4,partner3,group1,0.883875
0.05,2,19,4,partner3,group2,0.116125
0.05,2,19,4,partner4,group1,0.44225
0.05,2,19,4,partner4,group2,0.55775
0.05,2,20,4,partner1,group1,1
0.05,2,20,4,partner2,group1,0.1345
0.05,2,20,4,partner2,group2,0.8655
0.05,2,20,4,partner3,group1,0.862875
0.05,2,20,4,partner3,group2,0.137125
0.05,2,20,4,partner4,group1,0.2245
0.05,2,20,4,partner4,group2,0.7755
0.05,2,21,4,partner1,group1,1
0.05,2,21,4,partner2,group1,0.033
0.05,2,21,4,partner2,group2,0.967
0.05,2,21,4,partner3,group1,0.94875
0.05,2,21,4,partner3,group2,0.05125
0.05,2,21,4,partner4,group1,0.075125
0.05,2,21,4,partner4,group2,0.924875
0.05,2,22,4,partner1,group1,1
0.05,2,22,4,partner2,group1,0.056
0.05,2,22,4,partner2,group2,0.944
0.05,2,22,4,partner3,group1,0.917875
0.05,2,22,4,partner3,group2,0.082125
0.05,2,22,4,partner4,group1,0.05625
0.05,2,22,4,partner4,group2,0.94375
0.05,2,23,4,partner1,group1,1
0.05,2,23,4,partner2,group1,0.256875
0.05,2,23,4,partner2,group2,0.743125
0.05,2,23,4,partner3,group1,0.79625
0.05,2,23,4,partner3,group2,0.20375
0.05,2,23,4,partner4,group1,0.312875
0.05,2,23,4,partner4,group2,0.687125
0.05,2,24,4,partner1,group1,1
0.05,2,24,4,partner2,group1,0.18575
0.05,2,24,4,partner2,group2,0.81425
0.05,2,24,4,partner3,group1,0.841125
0.05,2,24,4,partner3,group2,0.158875
0.05,2,24,4,partner4,group1,0.189875
0.05,2,24,4,partner4,group2,0.810125
0.05,3,1,1,partner1,group1,1
0.05,3,1,1,partner2,group1,0.552625
0.05,3,1,1,partner2,group2,0.447375
0.05,3,1,1,partner3,group1,0.481375
0.05,3,1,1,partner3,group2,0.518625
0.05,3,1,1,partner4,group1,0.525125
0.05,3,1,1,partner4,group2,0.474875
0.05,3,2,1,partner1,group1,1
0.05,3,2,1,partner2,group1,0.374375
0.05,3,2,1,partner2,group2,0.625625
0.05,3,2,1,partner3,group1,0.51575
0.05,3,2,1,partner3,group2,0.48425
0.05,3,2,1,partner4,group1,0.57475
0.05,3,2,1,partner4,group2,0.42525
0.05,3,3,1,partner1,group1,1
0.05,3,3,1,partner2,group1,0.4165
0.05,3,3,1,partner2,group2,0.5835
0.05,3,3,1,partner3,group1,0.516875
0.05,3,3,1,partner3,group2,0.483125
0.05,3,3,1,partner4,group1,0.4715
0.05,3,3,1,partner4,group2,0.5285
0.05,3,4,1,partner1,group1,1
0.05,3,4,1,partner2,group1,0.513
0.05,3,4,1,partner2,group2,0.487
0.05,3,4,1,partner3,group1,0.619375
0.05,3,4,1,partner3,group2,0.380625
0.05,3,4,1,partner4,group1,0.519875
0.05,3,4,1,partner4,group2,0.480125
0.05,3,5,1,partner1,group1,1
0.05,3,5,1,partner2,group1,0.516625
0.05,3,5,1,partner2,group2,0.483375
0.05,3,5,1,partner3,group1,0.492125
0.05,3,5,1,partner3,group2,0.507875
0.05,3,5,1,partner4,group1,0.567125
0.05,3,5,1,partner4,group2,0.432875
0.05,3,6,1,partner1,group1,1
0.05,3,6,1,partner2,group1,0.492625
0.05,3,6,1,partner2,group2,0.507375
0.05,3,6,1,partner3,group1,0.552875
0.05,3,6,1,partner3,group2,0.447125
0.05,3,6,1,partner4,group1,0.58325
0.05,3,6,1,partner4,group2,0.41675
0.05,3,7,2,partner1,group1,1
0.05,3,7,2,partner2,group1,0.35575
0.05,3,7,2,partner2,group2,0.64425
0.05,3,7,2,partner3,group1,0.345625
0.05,3,7,2,partner3,group2,0.654375
0.05,3,7,2,partner4,group1,0.533
0.05,3,7,2,partner4,group2,0.467
0.05,3,8,2,partner1,group1,1
0.05,3,8,2,partner2,group1,0.209375
0.05,3,8,2,partner2,group2,0.790625
0.05,3,8,2,partner3,group1,0.4145
0.05,3,8,2,partner3,group2,0.5855
0.05,3,8,2,partner4,group1,0.554125
0.05,3,8,2,partner4,group2,0.445875
0.05,3,9,2,partner1,group1,1
0.05,3,9,2,partner2,group1,0.17025
0.05,3,9,2,partner2,group2,0.82975
0.05,3,9,2,partner3,group1,0.749875
0.05,3,9,2,partner3,group2,0.250125
0.05,3,9,2,partner4,group1,0.5005
0.05,3,9,2,partner4,group2,0.4995
0.05,3,10,2,partner1,group1,1
0.05,3,10,2,partner2,group1,0.125125
0.05,3,10,2,partner2,group2,0.874875
0.05,3,10,2,partner3,group1,0.6775
0.05,3,10,2,partner3,group2,0.3225
0.05,3,10,2,partner4,group1,0.4455
0.05,3,10,2,partner4,group2,0.5545
0.05,3,11,2,partner1,group1,1
0.05,3,11,2,partner2,group1,0.138625
0.05,3,11,2,partner2,group2,0.861375
0.05,3,11,2,partner3,group1,0.78275
0.05,3,11,2,partner3,group2,0.21725
0.05,3,11,2,partner4,group1,0.455375
0.05,3,11,2,partner4,group2,0.544625
0.05,3,12,2,partner1,group1,1
0.05,3,12,2,partner2,group1,0.05525
0.05,3,12,2,partner2,group2,0.94475
0.05,3,12,2,partner3,group1,0.481375
0.05,3,12,2,partner3,group2,0.518625
0.05,3,12,2,partner4,group1,0.632375
0.05,3,12,2,partner4,group2,0.367625
0.05,3,13,3,partner1,group1,1
0.05,3,13,3,partner2,group1,0.02475
0.05,3,13,3,partner2,group2,0.97525
0.05,3,13,3,partner3,group1,0.62075
0.05,3,13,3,partner3,group2,0.37925
0.05,3,13,3,partner4,group1,0.4875
0.05,3,13,3,partner4,group2,0.5125
0.05,3,14,3,partner1,group1,1
0.05,3,14,3,partner2,group1,0.1565
0.05,3,14,3,partner2,group2,0.8435
0.05,3,14,3,partner3,group1,0.8115
0.05,3,14,3,partner3,group2,0.1885
0.05,3,14,3,partner4,group1,0.458125
0.05,3,14,3,partner4,group2,0.541875
0.05,3,15,3,partner1,group1,1
0.05,3,15,3,partner2,group1,0.01125
0.05,3,15,3,partner2,group2,0.98875
0.05,3,15,3,partner3,group1,0.94475
0.05,3,15,3,partner3,group2,0.05525
0.05,3,15,3,partner4,group1,0.62875
0.05,3,15,3,partner4,group2,0.37125
0.05,3,16,3,partner1,group1,1
0.05,3,16,3,partner2,group1,0.170125
0.05,3,16,3,partner2,group2,0.829875
0.05,3,16,3,partner3,group1,0.8475
0.05,3,16,3,partner3,group2,0.1525
0.05,3,16,3,partner4,group1,0.568
0.05,3,16,3,partner4,group2,0.432
0.05,3,17,3,partner1,group1,1
0.05,3,17,3,partner2,group1,0.023125
0.05,3,17,3,partner2,group2,0.976875
0.05,3,17,3,partner3,group1,0.88575
0.05,3,17,3,partner3,group2,0.11425
0.05,3,17,3,partner4,group1,0.634
0.05,3,17,3,partner4,group2,0.366
0.05,3,18,3,partner1,group1,1
0.05,3,18,3,partner2,group1,0.2845
0.05,3,18,3,partner2,group2,0.7155
0.05,3,18,3,partner3,group1,0.7565
0.05,3,18,3,partner3,group2,0.2435
0.05,3,18,3,partner4,group1,0.416
0.05,3,18,3,partner4,group2,0.584
0.05,3,19,4,partner1,group1,1
0.05,3,19,4,partner2,group1,0.21825
0.05,3,19,4,partner2,group2,0.78175
0.05,3,19,4,partner3,group1,0.790375
0.05,3,19,4,partner3,group2,0.209625
0.05,3,19,4,partner4,group1,0.3865
0.05,3,19,4,partner4,group2,0.6135
0.05,3,20,4,partner1,group1,1
0.05,3,20,4,partner2,group1,0.036875
0.05,3,20,4,partner2,group2,0.963125
0.05,3,20,4,partner3,group1,0.927125
0.05,3,20,4,partner3,group2,0.072875
0.05,3,20,4,partner4,group1,0.129375
0.05,3,20,4,partner4,group2,0.870625
0.05,3,21,4,partner1,group1,1
0.05,3,21,4,partner2,group1,0.114875
