_id,index,stageIds,gameId,createdAt,data.target,data.numTrials,data.trialNum,data.numPartners,data.partnerNum,data.repNum,data.chat,data.room0data,data.room1data,data.room0response,data.room0correct,data.room1response,data.room1correct
kg8gjwYM55oSMdpwA,12,xXypRTfQYAbWLWJze,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_B.png""}",16,12,3,0,3,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
YBiqea2XmNeoQgmes,13,NsxqDgBsXA8S2C8Xe,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_C.png""}",16,13,3,0,3,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
5DKeqxcR4gDPyDj8y,14,tGeSuD4DWzLnhEFFJ,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_A.png""}",16,14,3,0,3,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
6nX3pm6LPfpDwdaXd,15,QEBdPL397bsJNSwvY,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_D.png""}",16,15,3,0,3,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
gE8gXkkcHRsJywt9r,16,"uXatiXkCKEmSKASxh,MFPLC9CcrD7CLGQSi",pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_C.png""}",16,0,3,1,0,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
3SsHc7eqKrBrEZBjw,17,3H8kpHqScQ9BvuNpc,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_A.png""}",16,1,3,1,0,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
yHN2my6vBXNxmECKu,18,59bbdooS2Tdf8bLhM,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_B.png""}",16,2,3,1,0,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
DF5zLN3DmnjdLf7je,19,BRmFhnpKNgoSZBZCW,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_D.png""}",16,3,3,1,0,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
KYWs4zimeus7KDjAw,20,cQx4DarrvvJbiYXzT,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_D.png""}",16,4,3,1,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
BtMoGqnAxCjwgt3cv,21,fvwfSJXLxdAEFMXwS,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_B.png""}",16,5,3,1,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""vG7KxAxGB5BaXzjiK"",""fqG8WAwqvp5mQ7xZg""],""room_clicked"":false,""room_correct"":false}",,,,
